a bit	m?t chút, m?t it
damage	m?i h?n, di?u h?i, s? thi?t h?i; làm hu h?i, làm h?ng, gây thi?t h?i
damp	?m, ?m u?t, ?m th?p
dance	s? nh?y múa, s? khiêu vu; nh?y múa, khiêu vu
dancer	di?n viên múa, ngu?i nh?y múa
dancing	s? nh?y múa, s? khiêu vu
danger	s? nguy hi?m, m?i hi?m nghèo; nguy co, m?i de d?a
dangerous	nguy hi?m
dare	dám, dám duong d?u v?i; thách
dark	t?i, t?i tam; bóng t?i, ám mu?i
data	s? li?u, d? li?u
date	ngày, k?, k? h?n, th?i k?, th?i d?i; d? ngày tháng, ghi niên hi?u
daughter	con gái
day	ngày, ban ngày
dead	ch?t, t?t
deaf	di?c, làm thinh, làm ngo
deal	phân phát, phân ph?i; s? giao d?ch, th?a thu?n mua bán
deal with	gi?i quy?t
dear	thân, thân yêu, thân m?n; kính thua, thua
death	s? ch?t, cái ch?t
debate	cu?c tranh lu?n, cu?c tranh cãi; tranh lu?n, bàn cãi
debt	n?
decade	th?p k?, b? mu?i, nhóm mu?i
decay	tình tr?ng suy tàn, suy s?p, tình tr?ng d? nát
december	tháng mu?i hai, tháng ch?p
decide	quy?t d?nh, gi?i quy?t, phân x?
decision	s? quy?t d?nh, s? gi?i quy?t, s? phân x?
declare	tuyên b?, công b?
decline	s? suy tàn, s? suy s?p; suy s?p, suy tàn
decorate	trang hoàng, trang trí
decoration	s? trang hoàng, d? trang hoàng, trang trí
decorative	d? trang hoàng, d? trang trí, d? làm c?nh
decrease	gi?m b?t, làm suy gi?m, s? gi?m di, s? gi?m sút
deep	sâu, khó lu?ng, bí ?n
deeply	sâu, sâu xa, sâu s?c
defeat	dánh th?ng, dánh b?i; s? th?t b?i
defence	cái d? b?o v?, v?t d? ch?ng d?, s? che ch?
defend	che ch?, b?o v?, bào ch?a
define	d?nh nghia
definite	xác d?nh, d?nh rõ, rõ ràng
definitely	r?ch ròi, d?t khoát
definition	s? d?nh nghia, l?i d?nh nghia
degree	m?c d?, trình d?; b?ng c?p; d?
delay	s? ch?m tr?, s? trì hoãn, s? c?n tr?; làm ch?m tr?
deliberate	th?n tr?ng, có tính toán, ch? tâm, có suy nghi cân nh?c
deliberately	th?n tr?ng, có suy nghi cân nh?c
delicate	thanh nhã, thanh tú, t? nh?, khó x?
delight	s? vui thích, s? vui su?ng, di?u thích thú; làm vui thích, làm say
delighted	vui m?ng, hài lòng
deliver	c?u kh?i, thoát kh?i, bày t?, giãi bày
delivery	s? phân phát, s? phân ph?i, s? giao hàng; s? bày t?, phát bi?u
demand	s? dòi h?i, s? yêu c?u; dòi h?i, yêu c?u
demonstrate	ch?ng minh, gi?i thích; bày t?, bi?u l?
dentist	nha si
deny	t? ch?i, ph?n d?i, ph? nh?n
department	c?c, s?, ty, ban, khoa; gian hàng, khu bày hàng
departure	s? r?i kh?i, s? di, s? kh?i hành
depend	ph? thu?c, tùy thu?c; d?a vào, ? vào, trông mong vào
deposit	v?t g?i, ti?n g?i, ti?n d?t c?c; g?i, d?t c?c
depress	làm chán n?n, làm phi?n mu?n; làm suy gi?m
depressed	chán n?n, th?t v?ng, phi?n mu?n; suy y?u, dình tr?
depressing	làm chán n?n làm thát v?ng, làm trì tr?
depth	chi?u sâu, d? dày
derive	nh?n du?c t?, l?y du?c t?; xu?t phát t?, b?t ngu?n, chuy?n hóa t?
describe	di?n t?, miêu t?, mô t?
description	s? mô t?, s? t?, s? miêu t?
desert	sa m?c; công lao, giá tr?; r?i b?, b? tr?n
deserted	hoang v?ng, không ngu?i ?
deserve	dáng, x?ng dáng
design	s? thi?t k?, k? ho?ch, d? cuong. phác th?o; phác h?a, thi?t k?
desire	u?c mu?n; thèm mu?n, ao u?c
desk	bàn
desperate	li?u m?ng, li?u linh; tuy?t v?ng
desperately	li?u linh, li?u m?ng
despite	dù, m?c dù, b?t ch?p
destroy	phá, phá ho?i, phá hu?, tiêu di?t, tri?t phá
destruction	s? phá ho?i, s? phá h?y, s? tiêu di?t
detail	chi ti?t
detailed	c?n k?, t? m?, nhi?u chi ti?t
determination	s? xác d?nh, s? d?nh rõ; s? quy?t d?nh
determine	xác d?nh, d?nh rõ; quy?t d?nh
determined	dã du?c xác d?nh, dã du?c xác d?nh rõ
develop	phát tri?n, m? r?ng; trình bày, bày t?
development	s? phát tri?n, s? trình bày, s? bày t?
device	k? sách; thi?t b?, d?ng c?, máy móc
devote	hi?n dâng, dành h?t cho
devoted	hi?n cho, dâng cho, dành cho; h?t lòng, nhi?t tình
diagram	bi?u d?
diamond	kim cuong
diary	s? nh?t ký; l?ch ghi nh?
dictionary	t? di?n
die	ch?t, t? tr?n, hy sinh
diet	ch? d? an u?ng, ch? d? an kiêng
difference	s? khác nhau
different	khác, khác bi?t, khác nhau
differently	khác, khác bi?t, khác nhau
difficult	khó, khó khan, gay go
difficulty	s? khó khan, n?i khó khan, di?u c?n tr?
dig	dào b?i, x?i
dinner	b?a trua, chi?u
direct	tr?c ti?p, th?ng, th?ng th?n; g?i, vi?t cho ai, di?u khi?n
direction	s? di?u khi?n, s? ch? huy
directly	tr?c ti?p, th?ng
director	giám d?c, ngu?i di?u khi?n, ch? huy
dirt	d? b?n th?u, d? do b?n, v?t rác ru?i
dirty	b?n th?u, do b?n
disabled	b?t l?c, không có kha nang
disadvantage	s? b?t l?i, s? thi?t h?i
disagree	b?t d?ng, không d?ng ý, khác, không gi?ng; không h?p
disagreement	s? b?t d?ng, s? không d?ng ý, s? khác nhau
disappear	bi?n m?t, bi?n di
disappoint	không làm th?a u?c nguy?n, ý mong d?i; th?t u?c, làm th?t
disappointed	th?t v?ng
disappointing	làm chán ngán, làm th?t v?ng
disappointment	s? chán ngán, s? th?t v?ng
disapproval	s? ph?n d?i, s? không tán thành
disapprove	không tán thành, ph?n d?i, chê
disapproving	ph?n d?i
disaster	tai h?a, th?m h?a
disc	dia
discipline	k? lu?t
discount	s? b?t giá, s? chi?t kh?u, ti?n b?t, chi?t kh?u
discover	khám phá, phát hi?n ra, nh?n ra
discovery	s? khám phá, s? tìm ra, s? phát hi?n ra
discuss	th?o lu?n, tranh lu?n
discussion	s? th?o lu?n, s? tranh lu?n
disease	can b?nh, b?nh t?t
disgust	làm ghê t?m, làm kinh t?m, làm ph?n n?
disgusted	chán ghét, ph?n n?
disgusting	làm ghê t?m, kinh t?m
dish	dia
dishonest	b?t luong, không thành th?t
dishonestly	b?t luong, không luong thi?n
disk	dia, dia hát
dislike	s? không ua, không thích, s? ghét
dismiss	gi?i tán
display	bày t?, phô truong, trung bày; s? bày ra, phô bày, trung bày
dissolve	tan rã, phân h?y, gi?i tán
distance	kho?ng cách, t?m xa
distinguish	phân bi?t, nh?n ra, nghe ra
distribute	phân b?, phân ph?i, s?p x?p, phân lo?i
distribution	s? phân b?, s? phân ph?i, phân phát, s? s?p x?p
district	huy?n, qu?n
disturb	làm m?t yên tinh, làm náo d?ng, qu?y r?y
disturbing	xáo tr?n
divide	chia, chia ra, phân ra
division	s? chia, s? phân chia, s? phân lo?i
divorce	dã ly d?
do	làm
doctor	bác si y khoa, ti?n si
document	van ki?n, tài li?u, tu li?u
dog	chó
dollar	dô la m?
domestic	v?t nuôi trong nhà,  n?i tr?, qu?c n?i
dominate	chi?m uu th?, có ?nh hu?ng, chi ph?i; ki?m ch?
door	c?a, c?a ra vào
dot	ch?m nh?, di?m; c?a h?i môn
double	dôi, hai, kép; cái g?p dôi, lu?ng g?p dôi; làm g?p dôi
doubt	s? nghi ng?, s? ng? v?c; nghi ng?, ng? v?c
down	xu?ng
downstairs	? du?i nhà, ? t?ng du?i; x?ng gác; t?ng du?i
downward	xu?ng, di xu?ng
downwards	xu?ng, di xu?ng
dozen	tá
draft	b?n phác th?o, so d? thi?t k?; phác th?o, thi?t k?
drag	lôi kéo, kéo lê
drama	k?ch, tu?ng
dramatic	nhu k?ch, nhu dóng k?ch, thích h?p v?i sân kh?u
dramatically	d?t ng?t
draw	v?, kéo
drawer	ngu?i v?, ngu?i kéo
drawing	b?n v?, b?c v?, s? kéo
dream	gi?c mo, mo
dress	qu?n áo, m?c , an m?c
drink	d? u?ng; u?ng
drive	lái , dua xe; cu?c dua xe
driver	ngu?i lái xe
driving	s? lái xe, cu?c dua xe
drop	ch?y nh? gi?t, roi, r?t; gi?t
drug	thu?c, du?c ph?m; ma túy
drugstore	hi?u thu?c, c?a hàng du?c ph?m
drum	cái tr?ng, ti?ng tr?ng
drunk	say ru?u
dry	khô, c?n; làm khô, s?y khô
due	d?n k? h?n ; x?ng dáng, thích dáng
due to	vì, do, t?i, nh? có
dull	ch?m hi?u, ngu d?n
dump	d? rác; d?ng rác, noi d? rác
during	trong lúc, trong th?i gian
dust	b?i, rác; r?c , quét b?i, ph?i b?i
duty	s? tôn kính, kính tr?ng; b?n ph?n, trách nhi?m
dying	s? ch?t
each	m?i
each other	nhau, l?n nhau
ear	tai
early	s?m
earn	ki?m
earth	d?t, trái d?t
ease	s? thanh th?n, s? tho?i mái; làm thanh th?n, làm yên tâm, làm d? ch?u
easily	d? dàng
east	hu?ng dông, phía dông,  dông, ? phía dông
eastern	dông
easy	d? dàng, d? tính, ung dung
eat	an
economic	kinh t?
economy	s? ti?t ki?m, s? qu?n lý kinh t?
edge	lu?i, c?nh s?c
edition	nhà xu?t b?n, s? xu?t b?n
editor	ngu?i thu th?p và xu?t b?n, ch? bút
educate	giáo d?c, cho an h?c; rèn luy?n
educated	du?c giáo d?c, du?c dào t?o
education	s? giáo d?c, s? rèn luy?n
effect	hi?u ?ng, hi?u qu?, k?t qu?
effective	có k?t qu?, có hi?u l?c
effectively	có k?t qu?, có hi?u l?c
efficient	có hi?u l?c, có hi?u qu?
efficiently	có hi?u qu?, hi?u nghi?m
effort	s? c? g?ng, s? n? l?c
either	m?i, m?t; cung ph?i th?
elbow	khu?u tay
elderly	có tu?i, cao tu?i
elect	b?u, quy?t d?nh
election	s? b?u c?, cu?c tuy?n c?
electric	di?n, có di?n, phát di?n
electrical	di?n
electricity	di?n, di?n l?c; di?n l?c h?c
electronic	di?n t?
elegant	thanh l?ch, tao nhã
element	y?u tôd, nguyên t?
else	khác, n?a; n?u không
elsewhere	? m?t noi nào khác
email	thu di?n t?; g?i thu di?n t?
embarrass	lúng túng, làm ngu?ng ngh?u; làm r?c r?i, gây khó khan
embarrassed	lúng túng, b?i r?i, ngu?ng; mang n?
embarrassing	làm lúng túng, ngan tr?
embarrassment	s? lúng túng, s? b?i r?i
emerge	n?i lên, hi?n ra; n?i b?t lên
emergency	tình tr?ng kh?n c?p
emotion	x? xúc d?ng, s? c?m d?ng, m?i xác c?m
emotional	c?m d?ng, xúc d?ng, xúc c?m; d? c?m d?ng, d? xúc c?m
emotionally	xúc d?ng
emphasis	s? nh?n m?nh, t?m quan tr?ng
emphasize	nh?n m?nh, làm n?i b?t
empire	d? ch?, d? qu?c
employ	dùng, thuê ai làm gì
employee	ngu?i lao d?ng, ngu?i làm công
employer	ch?, ngu?i s? d?ng lao d?ng
employment	s? thuê mu?n
empty	tr?ng, r?ng; d?, d?c; u?ng, làm c?n
enable	làm cho có th?, có kh? nang; cho phép ai làm gì
encounter	ch?m chán, b?t g?p; s? ch?m trán, s? b?t g?p
encourage	d?ng viên, ?ng h?, giúp d?, làm can d?m, m?nh d?n
encouragement	ni?m c? vu, d?ng viên, khuy?n khích, s? làm can d?m
end	gi?i h?n, s? k?t thúc; k?t thúc, ch?m d?t
ending	s? k?t thúc, s? ch?m d?t; ph?n cu?i, k?t c?c
enemy	k? thù, quân d?ch
energy	nang lu?ng, ngh? l?c, sinh l?c
engage	h?a h?n, cam k?t, dính u?c
engaged	dã dính u?c, dã h?a hôn; dã có ngu?i
engine	máy, d?ng co
engineer	k? su
engineering	ngh? k? su, công vi?c c?a k? su
enjoy	thu?ng th?c, thích thú cái gì, du?c hu?ng, có du?c
enjoyable	thú v?, thích thú
enjoyment	s? thích thú, s? có du?c, du?c hu?ng
enormous	to l?n, kh?ng l?
enough	d?
enquiry	s? di?u tra, s? th?m v?n
ensure	b?o d?m, ch?c ch?n
enter	di vào, gia nh?p
entertain	gi?i trí, ti?p dón, chiêu dãi
entertainer	ngu?i qu?n trò, ngu?i ti?p dãi, chiêu dãi
entertaining	gi?i trí
entertainment	s? gi?i trí, s? ti?p dãi, chiêu dãi
enthusiasm	s? hang hái, s? nhi?t tình
enthusiastic	hang hái, say mê, nhi?t tình
entire	toàn th?, toàn b?
entirely	toàn v?n, tr?n v?n, toàn b?
entitle	cho tiêu d?, cho tên ; cho quy?n làm gì
entrance	s? di vào, s? nh?m ch?c
entry	s? ghi vào s? sách, s? di vào, s? ti?p nh?n
envelope	phong bì
environment	môi tru?ng, hoàn c?nh xung quanh
environmental	thu?c v? môi tru?ng
equal	ngang, b?ng; ngu?i ngang hàng, ngang tài, s?c; b?ng, ngang
equally	b?ng nhau, ngang b?ng
equipment	trang, thi?t b?
equivalent	tuong duong; t?, v?t tuong duong
error	l?i, s? sai sót, sai l?m
escape	tr?n thoát, thoát kh?i; s? tr?n thoát, l?i thoát
especially	d?c bi?t là, nh?t là
essay	bài ti?u lu?n
essential	b?n ch?t, th?c ch?t, c?t y?u; y?u t? c?n thi?t
essentially	v? b?n ch?t, v? co b?n
establish	l?p, thành l?p
estate	tài s?n, di s?n, b?t d?ng s?n
estimate	s? u?c lu?ng, dánh giá; u?c lu?ng, dánh giá
etc	vân vân
euro	don v? ti?n t? c?a liên minh châu âu
even	ngay c?, ngay, l?i còn; b?ng ph?ng, di?m d?m, ngang b?ng
evening	bu?i chi?u, t?i
event	s? vi?c, s? ki?n
eventually	cu?i cùng
ever	t?ng, t? tru?c t?i gi?
every	m?i, m?i
everyone	m?i ngu?i
everything	m?i v?t, m?i th?
everywhere	m?i noi
evidence	di?u hi?n nhiên, di?u rõ ràng
evil	x?u, ác; di?u x?u, di?u ác, di?u tai h?i
ex- prefix	ti?n t? ch? bên ngoài
exact	chính xác, dúng
exactly	chính xác, dúng d?n
exaggerate	cu?ng di?u, phóng d?i
exaggerated	cu?ng di?u, phòng d?i
exam	vi?t t?t c?a examination
examination	s? thi c?, k? thi
examine	th?m tra, khám xét, h?i han
example	thí d?, ví d?
excellent	xu?t s?c, xu?t chúng
except	tr? ra, không k?; tr? phi
exception	s? tr? ra, s? lo?i ra
exchange	trao d?i; s? trao d?i
excite	kích thích, kích d?ng
excited	b? kích thích, b? kích d?ng
excitement	s? kích thích, s? kích d?ng
exciting	h?ng thú, thú v?
exclude	ngan ch?n, lo?i tr?
excluding	ngoài ra, tr? ra
excuse	l?i xin l?i, bào ch?a; xin l?i, tha th?, tha l?i
executive	s? thi hành, ch?p hành;  s? thi hành, ch?p hành
exempli gratia	tr?ng
exercise	bài t?p, s? thi hành, s? th?c hi?n; làm, thi hành, th?c hi?n
exhibit	trung bày, tri?n lãm; v?t trung bày, v?t tri?n lãm
exhibition	cu?c tri?n lãm, trung bày
exist	t?n t?i, s?ng
existence	s? t?n t?i, s? s?ng
exit	l?i ra, s? di ra, thoát ra
expand	m? r?ng, phát tri?n, n?, giãn ra
expect	ch? d?i, mong ngóng; li?u tru?c
expectation	s? mong ch?, s? ch? d?i
expected	du?c ch? d?i, du?c hy v?ng
expense	chi phí
expensive	d?t
experience	kinh nghi?m; tr?i qua, n?m mùi
experienced	có kinh nghi?m, t?ng tr?i, giàu kinh nghi?m
experiment	cu?c thí nghi?m; thí nghi?m
expert	chuyên gia; chuyên môn, thành th?o
explain	gi?i nghia, gi?i thích
explanation	s? gi?i nghia, gi?i thích
explode	d?p tan , làm n?, n?
explore	tham dò, thám hi?m
explosion	s? n?, s? phát tri?n ? ?t
export	xu?t kh?u; hàng xu?t kh?u, s? xu?t kh?u
expose	trung bày, phoi bày
express	di?n t?, bi?u l?, bày t?; nhanh, t?c hành
expression	s? di?n t?, s? bày t?, bi?u l?, s? di?n d?t
extend	gio, du?i ra , dành cho, g?i l?i
extension	s? gio, du?i; s? kéo dài, s? dành cho, g?i l?i
extensive	r?ng rãi, bao quát
extent	quy mô, ph?m vi
extra	thêm, ph?, ngo?i; th? thêm, ph?
extraordinary	d?c bi?t, l? thu?ng, khác thu?ng
extreme	vô cùng, kh?c nghi?t, quá khích, c?c doan; s? quá khích
extremely	vô cùng, c?c d?
eye	m?t
face	m?t, th? di?n; duong d?u, d?i phó, d?i m?t
facility	di?u ki?n d? dàng, s? d? dàng, thu?n l?i
fact	vi?c, s? vi?c, s? ki?n
factor	nhân t?
factory	nhà máy, xí nghi?p, xu?ng
fail	sai, th?t b?i
failure	s? th?t b?i, ngu?i th?t b?i
faint	nhút nhát, y?u ?t
faintly	nhút nhát, y?u ?t
fair	h?p lý, công b?ng; thu?n l?i
fairly	h?p lý, công b?ng
faith	s? tin tu?ng, tin c?y; ni?m tin, v?t d?m b?o
faithful	trung thành, chung th?y, trung th?c
faithfully	trung thành, chung th?y, trung th?c
fall	roi, ngã, s? roi, ngã
fall asleep	ng? thi?p di
fall over	ngã l?n nhào, b? d?
false	sai, nh?m, gi? d?i
fame	tên tu?i, danh ti?ng
familiar	thân thi?t, quen th?c
family	gia dình, thu?c gia dình
famous	ngu?i hâm m?
fancy	tu?ng tu?ng, cho, nghi r?ng; tu?ng tu?ng
far	xa
farm	trang tr?i
farmer	nông dân, ngu?i ch? tr?i
farming	công vi?c tr?ng tr?t, d?ng áng
fashion	m?t, th?i trang
fashionable	dúng m?t, h?p th?i trang
fast	nhanh
fasten	bu?c, trói
fat	béo, béo b?; m?, ch?t béo
father	cha
faucet	vòi
fault	s? thi?t sót, sai sót
favour	thi?n ý, s? quý m?n; s? d?ng ý; s? chi?u c?
fear	s? s? hãi, e s?; s?, lo ng?i
feather	lông chim
feature	nét d?t bi?t, di?m d?c trung; mô t? nét d?c bi?t, d?c trung c?a...
february	tháng 2
federal	liên bang
fee	ti?n thù lao, h?c phí
feed	cho an, nuôi
feel	c?m th?y
feel sick	bu?n nôn
feeling	s? c?m th?y, c?m giác
fellow	anh chàng , d?ng chí
female	thu?c gi?ng cái; gi?ng cái
fence	hàng rào
festival	l? h?i, d?i h?i liên hoan
fetch	tìm v?, dem v?; làm b?c mình; làm say mê, quy?n ru
fever	con s?t, b?nh s?t
few	ít,vài; m?t ít, m?t vài
field	cánh d?ng, bãi chi?n tru?ng
fight	d?u tranh, chi?n d?u; s? d?u tranh, cu?c chi?n d?u
fighting	s? chi?n d?u, s? d?u tranh
figure	hình dáng, nhân v?t; hình dung, miêu t?
file	h? so, tài li?u
fill	làm d?y, l?p kín
film	phim, du?c d?ng thành phim
final	cu?i cùng, cu?c d?u chung k?t
finally	cu?i cùng, sau cùng
finance	tài chính; tài tr?, c?p v?n
financial	thu?c
find	tìm, tìm th?y
find out sth	khám phá, tìm ra
fine	t?t, gi?i
finely	d?p d?, t? nh?, cao thu?ng
finger	ngón tay
finish	k?t thúc, hoàn thành; s? k?t thúc, ph?n cu?i
finished	hoàn t?t, hoàn thành
fire	l?a; d?t cháy
firm	hãng, công ty; ch?c, kiên quy?t, vung vàng, m?nh m?
firmly	v?ng ch?c, kiên quy?t
first det	th? nh?t, d?u tiên, tru?c h?t; ngu?i, v?t d?u tiên, th? nh?t
fish	cá, món cá; câu cá, b?t cá
fishing	s? câu cá, s? dánh cá
fit	h?p, v?a; thích h?p, x?ng dáng
fix	dóng, g?n, l?p; s?a ch?a, s?a sang
flag	qu?c k?
flame	ng?n l?a
flash	loé sáng, v?t sáng; ánh sáng lóe lên, dèn nháy
flat	b?ng ph?ng, b?t, nh?n; dãy phòng, can phòng, m?t ph?ng
flavour	v?, mùi; cho gia v?, làm tang thêm mùi v?
flesh	th?t
flight	s? b? ch?y, rút ch?y; s? bay, chuy?n bay
float	l?t, lu l?tl; tràn d?y, tràn ng?p
floor	sàn, t?ng
flour	b?t, b?t m?
flow	s? ch?y; ch?y
flower	hoa, bông, dóa, cây hoa
flu	b?nh cúm
fly	bay; s? bay, quãng du?ng bay
flying	bi?t bay; s? bay, chuy?n bay
focus	t?p trung; trung tâm, tr?ng tâm
fold	g?p, vén, x?n; n?p g?p
folding	g?p l?i du?c
follow	di theo sau, theo, ti?p theo
following	ti?p theo, theo sau, sau dây; sau, ti?p theo
food	d? an, th?c, món an
foot	chân, bàn chân
football	bóng dá
for	cho, dành cho...
for instance	ví d? ch?ng h?n
force	s?c m?nh; ép bu?c, cu?ng ép
forecast	s? d? doán, d? báo; d? doán, d? báo
foreign	nu?c ngoài, t? nu?c ngoài, ? nu?c ngoài
forest	r?ng
forever	mãi mãi
forget	quên
forgive	tha, tha th?
fork	cái nia
form	hình th?, hình d?ng, hình th?c; làm thành, du?c t?o thành
formal	hình th?c
formally	chính th?c
former	tru?c, cu, xua, nguyên
formerly	tru?c dây, thu? xua
formula	công th?c, th? th?c, cách th?c
fortune	s? giàu có, s? th?nh vu?ng
forward	? phía tru?c, ti?n v? phía tru?c
found	tìm, tìm th?y
foundation	s? thành l?p, s? sáng l?p; t? ch?c
frame	c?u trúc, h? th?ng; dàn x?p, b? trí
free	mi?n phí, t? do, gi?i phóng, tr? t? do
freedom	s? t? do; n?n t? do
freely	t? do, tho?i mái
freeze	s? dông l?nh, s? giá l?nh; làm dông, làm dóng bang
frequent	thu?ng xuyên
frequently	thu?ng xuyên
fresh	tuoi, tuoi t?n
freshly	tuoi mát, kh?e kho?n
friday	th? sáu
fridge	t? l?nh
friend	ngu?i b?n
friendly	thân thi?n, thân m?t
friendship	tình b?n, tình h?u ngh?
frighten	làm s?, làm ho?ng s?
frightened	ho?ng s?, khi?p s?
frightening	kinh kh?ng, kh?ng khi?p
from	t?
front	m?t; d?ng tru?c, v? phía tru?c
frozen	l?nh giá
fruit	qu?, trái cây
fry	rán, chiên; th?t rán
fuck	quan h? tình d?c
fuel	ch?t d?t, nhiên li?u
full	d?y, d?y d?
fully	d?y d?, hoàn toàn
fun	s? vui dùa, s? vui thích; hài hu?c
function	ch?c nang; h?at d?ng, ch?y
fund	kho, qu?; tài tr?, ti?n b?c, d? ti?n vào công qu?
fundamental	co b?n, co s?, ch? y?u
funeral	l? tang, dám tang
funny	bu?n cu?i, khôi hài
fur	b? da lông thú
furniture	d? d?c
further	xa hon n?a; thêm n?a
further, furthest	c?p so sánh c?a far
future	tuong lai
gain	l?i, l?i ích; giành du?c, ki?m du?c, d?t t?i
gallon	galông 1gl = 4, 54 lít ? anh, 3, 78 lít ? m?
gamble	dánh b?c; cu?c dánh b?c
gambling	trò c? b?c
game	trò choi
gap	dèo, l? h?ng, k? h?; ch? tr?ng
garage	nhà d? ô tô
garbage	lòng, ru?t
garden	vu?n
gas	khí, hoi d?t
gasoline	d?u l?a, d?u h?a, xang
gate	c?ng
gather	t?p h?p; hái, lu?m, thu th?p
gear	co c?u, thi?t b?, d?ng c?
general	chung, chung chung; t?ng
generally	nói chung, d?i th?
generate	sinh, d? ra
generation	s? sinh ra, s? phát sinh ra; th? h?, d?i
generous	r?ng lu?ng, khoan h?ng, hào phóng
generously	r?ng lu?ng, hào phóng
gentle	hi?n lành, d?u dàng, nh? nhàng
gentleman	ngu?i quý phái, ngu?i thu?ng luu
gently	nh? nhàng, êm ái, d?u dàng
genuine	thành th?t, chân th?t; xác th?c
genuinely	thành th?t, chân th?t
geography	d?a lý, khoa d?a lý
get	du?c, có du?c
get off	ra kh?i, thoát kh?i
get on leo	trèo lên
giaalmost	h?u nhu, g?n nhu
giant	ngu?i kh?ng l?, ngu?i phi thu?ng; kh?ng l?, phi thu?ng
gift	quà t?ng
girl	con gái
girlfriend	b?n gái, ngu?i yêu
give	cho, bi?u, t?ng
give birth	sinh ra
give sth away	cho, phát
give sth out	chia, phân ph?i
give up	b?, t? b?
glad	vui lòng, sung su?ng
glass	kính, th?y tinh, cái c?c, ly
glasses	kính deo m?t
global	toàn c?u, toàn th?, toàn b?
glove	bao tay, gang tay
glue	keo, h?; g?n l?i, dán b?ng keo, h?
go	di
go down	di xu?ng
go up	di lên
go wrong	m?c l?i, sai l?m
god	th?n, chúa
gold	vàng; b?ng vàng
good	t?t, hay, tuy?t; di?u t?t, di?u thi?n
good at	ti?n b? ?
good for	có l?i cho
good, well	t?t, kh?e
goodbye	t?m bi?t, l?i chào t?m bi?t
goods	c?a c?i, tài s?n, hàng hóa
govern	cai tr?, th?ng tr?, c?m quy?n
government	chính ph?, n?i các; s? cai tr?
governor	th? linh, ch?; k? th?ng tr?
grab	túm l?y, v?, ch?p l?y
grade	di?m, di?m s?; phân lo?i, x?p lo?i
gradual	d?n d?n, t?ng bu?c m?t
gradually	d?n d?n, t? t?
grain	thóc lúa, h?t, h?t; tính ch?t, b?n ch?t
gram	d?u xanh
grammar	van ph?m
grand	r?ng l?n, vi d?i
grandchild	cháu
granddaughter	cháu gái
grandfather	ông
grandmother	bà
grandparent	ông bà
grandson	cháu trai
grant	cho, ban, c?p; s? cho, s? ban, s? c?p
grass	c?; bãi c?, d?ng c?
grateful	bi?t on, d? ch?u, khoan khoái
grave	m?, d?u huy?n; trang nghiêm, nghiêm tr?ng
gray	xám, hoa râm
great	to, l?n, vi d?i
greatly	r?t, l?m; cao thu?ng, cao c?
green	xanh lá cây
grey	xám, hoa râm
groceries	hàng t?p hóa
grocery	c?a hàng t?p ph?m
ground	m?t d?t, d?t, bãi d?t
group	nhóm
grow	m?c, m?c lên
grow up	l?n lên, tru?ng thành
growth	s? l?n lên, s? phát tri?n
guarantee	s? b?o hành, b?o lãnh, ngu?i b?o lãnh; cam doan, b?o d?m
guard	cái ch?n, ngu?i b?o v?; b?o v?, gác, canh gi?
guess	doán, ph?ng doán; s? doán, s? u?c ch?ng
guest	khách, khách m?i
guide	di?u ch? d?n, ngu?i hu?ng d?n; d?n du?ng, ch? du?ng
guilty	có t?i, ph?m t?i, t?i l?i
gun	súng
guy	bù nhìn, anh chàng, gã
habit	thói quen, t?p quán
hair	tóc
hairdresser	th? làm tóc
half	m?t n?a, ph?n chia dôi, n?a gi?; n?a
hall	d?i s?nh, tòa , h?i tru?ng
hammer	búa
hand	tay, bàn tay; trao tay, truy?n cho
handle	treo, m?c
happen	x?y ra, x?y d?n
happily	sung su?ng, h?nh phúc
happiness	s? sung su?ng, h?nh phúc
happy	vui su?ng, h?nh phúc
hard	c?ng, r?n, hà kh?c; h?t s?c c? g?ng, tích c?c
hardly	kh?c nghi?t, nghiêm kh?c, tàn t?, khó khan
harm	thi?t h?i, t?n hao; làm h?i, gây thi?t h?i
harmful	gây tai h?i, có h?i
harmless	không có h?i
hat	cái mu
hate	ghét; lòng cam ghét, thù h?n
hatred	lòng cam thì, s? cam ghét
have auxiliary	có
have to modal	ph?i
he	nó, anh ?y, ông ?y
head	cái d?u ; ch? huy, lãnh d?i, d?n d?u
headache	ch?ng nh?c d?u
heal	ch?a kh?i, làm lành
health	s?c kh?e, th? ch?t, s? lành m?nh
healthy	kh?e m?nh, lành m?nh
hear	nghe
hearing	s? nghe, thính giác
heart	tim, trái tim
heat	hoi nóng, s?c nóng
heating	s? d?t nóng, s? làm nóng
heaven	thiên du?ng
heavily	n?ng, n?ng n?
heavy	n?ng, n?ng n?
heel	gót chân
height	chi?u cao, d? cao; d?nh, di?m cao
hell	d?a ng?c
hello	xin chào
help	giúp d?; s? giúp d?
helpful	có ích; giúp d?
hence	sau dây, k? t? dây; do dó, vì th?
her	nó, ch? ?y, cô ?y, bà ?y
here	dây, ? dây
hero	ngu?i anh hùng
hers	cái c?a nó, cái c?a cô ?y, cái c?a ch? ?y, cái c?a bà ?y
herself	chính nó, chính cô ta, chính ch? ta, chính bà ta
hesitate	ng?p ng?ng, do d?
hi	xin chào
hide	tr?n, ?n n?p; che gi?u
high	cao, ? m?c d? cao
